	sc_id	spot	exp_cor_before	interface_cor_before	mix_cor_before	exp_cor_after	interface_cor_after	mix_cor_after	celltype	UMAP1	UMAP2	st_x	st_y
0	cell_1415	spot_91	0.8095592206878096	0.3384638270655371	0.7624496813255823	0.9024996542580273	0.4673459664821084	0.8589842854804355	Other	0.4025344	3.3980553	3375	11625
1	cell_772	spot_91	0.8095592206878096	0.3384638270655371	0.7624496813255823	0.9024996542580273	0.4673459664821084	0.8589842854804355	Other	0.55385506	3.4274507	3375	11625
2	cell_381	spot_91	0.8095592206878096	0.3384638270655371	0.7624496813255823	0.9024996542580273	0.4673459664821084	0.8589842854804355	ExcitatoryL2and3	0.81020993	3.1343045	3375	11625
3	cell_760	spot_91	0.8095592206878096	0.3384638270655371	0.7624496813255823	0.9024996542580273	0.4673459664821084	0.8589842854804355	ExcitatoryL2and3	0.45007738	3.2282863	3375	11625
4	cell_1389	spot_91	0.8095592206878096	0.3384638270655371	0.7624496813255823	0.9024996542580273	0.4673459664821084	0.8589842854804355	ExcitatoryL2and3	0.4667387	3.468998	3375	11625
5	cell_759	spot_91	0.8095592206878096	0.3384638270655371	0.7624496813255823	0.9024996542580273	0.4673459664821084	0.8589842854804355	ExcitatoryL2and3	0.6300073	3.4551823	3375	11625
6	cell_641	spot_111	0.903281887421269	0.5695015277209723	0.8699038514512394	0.9375314081954428	0.6125895481977333	0.9050372221956718	Other	-0.09724296	2.8226986	4125	12375
7	cell_1344	spot_111	0.903281887421269	0.5695015277209723	0.8699038514512394	0.9375314081954428	0.6125895481977333	0.9050372221956718	Other	-0.30362117	2.7639575	4125	12375
8	cell_59	spot_111	0.903281887421269	0.5695015277209723	0.8699038514512394	0.9375314081954428	0.6125895481977333	0.9050372221956718	ExcitatoryL2and3	-0.49429387	2.8836136	4125	12375
9	cell_498	spot_111	0.903281887421269	0.5695015277209723	0.8699038514512394	0.9375314081954428	0.6125895481977333	0.9050372221956718	ExcitatoryL2and3	-0.1436625	2.7520788	4125	12375
10	cell_1394	spot_111	0.903281887421269	0.5695015277209723	0.8699038514512394	0.9375314081954428	0.6125895481977333	0.9050372221956718	ExcitatoryL2and3	-0.05415596	2.6388857	4125	12375
11	cell_523	spot_111	0.903281887421269	0.5695015277209723	0.8699038514512394	0.9375314081954428	0.6125895481977333	0.9050372221956718	ExcitatoryL2and3	-0.4422175	2.9058647	4125	12375
12	cell_1387	spot_111	0.903281887421269	0.5695015277209723	0.8699038514512394	0.9375314081954428	0.6125895481977333	0.9050372221956718	ExcitatoryL2and3	-0.3504509	2.946586	4125	12375
13	cell_849	spot_111	0.903281887421269	0.5695015277209723	0.8699038514512394	0.9375314081954428	0.6125895481977333	0.9050372221956718	ExcitatoryL2and3	-0.43236962	2.7313468	4125	12375
